Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Azerbaijan,AZE,..,42.8714766286991,143.530366495412,130.740496706109,54.9552920848402,45.0572958275021,43.6604275527612,41.1196496888977,44.4532830834644,48.2779907829453,56.7246469197583,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bangladesh,BGD,5.3659077581246,9.7162422376542,55.7339168487275,63.2860340063704,71.0504032338404,77.6920864096617,65.4987942797693,56.102551771501,52.3759553083403,58.7313081463099,50.4931459568706,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Belarus,BLR,..,13.3767018217633,16.8148435583615,12.664909807008,10.9070151443608,13.081391526721,18.4801835036805,18.4627536248226,23.0613001630684,17.8701144385843,20.2256790754571,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Belize,BLZ,48.8834573870174,19.5107551417601,32.254217627567,37.8492643084589,34.1569523416568,29.1975100010206,23.312755325267,21.8302894205922,20.1504827605265,22.8105580283678,28.9685252570716,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bhutan,BTN,106.330094000227,150.129708301845,64.869699477762,67.6252804869789,54.8544041517761,49.233171512274,46.2523355610472,38.6855760338452,45.80107445713,46.9881188269877,31.8057472527,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bolivia,BOL,11.6918529613459,20.0942713618779,177.222385250549,170.297758297854,131.878236973896,91.4443892669957,78.8754726509036,67.4015666576704,45.1393747995437,34.0284744087231,29.6299939846305,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bosnia and Herzegovina,BIH,..,17.7925295575338,36.1683099386725,37.1508221208773,41.2513468638659,44.1619361806711,49.6888740053124,52.6323077778524,56.7417317382892,62.7953516314902,72.9625984980051,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Botswana,BWA,602.519964479154,1396.49213779827,323.49867212829,332.973120213828,337.387460104108,338.066977865815,430.146388557005,373.55639369305,394.23904447954,309.303080017739,242.318510719062,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,8.30972781180754,13.6138995630881,74.1762629517995,65.2823505942913,65.5993217832774,67.1843870480633,68.8683782871453,67.1832707520497,62.755857679145,64.7438713411984,59.7228809945289,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Bulgaria,BGR,..,29.2056705599933,38.4946572399017,42.7609749309285,54.8633506101029,62.9495632981559,69.2276725496065,71.5924326477128,68.8908263295595,80.7137967147573,87.1950228238258,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Burundi,BDI,12.312709193171,3.34380433612905,48.1719949328306,45.9510811693785,21.7473801073015,15.7867384650015,16.0513038804708,11.6460017195118,17.9012787740389,13.7446034003468,27.5416114424385,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cabo Verde,CPV,57.5448375486382,8.81967045293181,31.8447951266693,32.9488981200873,31.8991301303994,36.909477823559,34.4900876537573,34.3110124953022,40.5217944858158,35.4863908545831,37.3658459877027,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cambodia,KHM,..,29.0005279494038,65.5943380184867,73.4293163552686,78.1649539534762,90.600181188631,106.796007495697,108.113054721343,122.351453960256,121.400396165442,101.245259934731,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cameroon,CMR,0.564952839714012,2.08515809310946,67.0530403516837,54.9509016284584,48.409325339474,28.2084014112616,31.7355866697951,31.603928993721,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Central African Republic,CAF,17.5960656051704,15.6859120851243,32.4052312913955,39.2331328271183,30.9574651119661,34.4670390293502,50.1619034219833,46.0534062224803,41.239432919713,48.1261560917013,43.3785797103564,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Chad,TCD,25.684452561333,10.3514986747895,40.6459415124489,28.8885256133527,13.178523935218,0.286170966273359,0.274594342818339,4.5552754271463,9.3233875260071,10.6462627383299,5.37901660305443,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,62.3413783151308,117.721046974955,262.102630204063,219.302852538992,255.31058222747,219.085442069193,189.821269758469,161.514934701142,152.443123731408,144.288771378992,126.842753605614,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Colombia,COL,27.962043784239,26.2338118802363,46.5877577035397,44.7495027178991,40.7740860226512,38.2202273701908,37.3892253135151,35.9378716319877,37.9049115693552,37.5729744519806,33.7331579475486,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Comoros,COM,16.1851295270144,18.6713081982301,117.989512772779,120.744372426647,153.613911798267,88.5787413204545,111.400306527496,81.3161699907637,76.4654106242662,97.7447009339725,97.9209102072437,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Congo, Dem. Rep.",COD,2.54274534249396,0.698892085098656,22.2830580700888,21.4463803810082,17.1114887031699,10.4147939359676,10.049731675459,9.71336282658065,15.7800853888718,9.16107284758125,33.7000884605849,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Congo, Rep.",COG,0.207331597322343,4.81312685930618,124.938014003986,102.995032547839,45.1523769792344,14.8454738056867,6.95470801815536,8.17281745167905,18.4613783081272,21.495244386701,11.8948269138044,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Costa Rica,CRI,13.6479050280825,28.0942347229438,42.7841453137647,36.5652545710377,33.2104149455834,29.6283857867026,27.9116950838551,26.4403061168463,29.9894027612674,23.1266012342913,20.4842105038197,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Djibouti,DJI,60.300492627649,22.7619924452555,51.7866933505892,41.6866432275648,29.7236907295764,23.9339959364473,24.5304985763102,19.5656922727481,19.6608127086044,25.6189676720138,18.4391121137545,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Dominica,DMA,15.9363117888722,16.0218594544138,28.0933773391735,32.9127966987509,39.7919219598465,73.9277655286542,70.8303411953688,68.7463132440958,55.8289634763201,50.2538685688953,50.4924356386395,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Dominican Republic,DOM,1.5280958175232,13.6885269156712,19.6204216997875,18.507400538402,19.7027556098472,21.6822846252072,23.3329352022842,24.2202534386287,25.9651228761979,26.9351635209584,30.0255680058061,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Ecuador,ECU,8.2966227174249,6.86466938250683,22.776393757539,15.7835377670156,8.76018817912313,11.9143985964311,5.27173353727093,4.80140675594859,5.66339778898374,12.6687873506892,13.5809582357672,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Egypt, Arab Rep.",EGY,10.9642670940723,47.1562089250227,35.5605274646427,35.760578345629,31.8157384152843,34.1835514822667,43.0566498362514,42.110459451623,38.9301667107349,30.0271813397112,27.8014385153961,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,El Salvador,SLV,26.677081962534,41.9252017017664,19.4233749622711,17.7553136377057,17.8967242735893,19.5471584644425,20.7648463096834,21.3385187155553,25.5809629203022,16.8152533109907,16.9847164478397,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Eritrea,ERI,..,10.9590478126915,14.1344141972742,16.7353350091789,16.6120141623115,18.2339683179035,17.4729834971787,20.6058783706868,24.8401892212675,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Eswatini,SWZ,84.5426680680574,105.417301204964,101.174969408197,128.665838643112,121.88237435115,73.7621344557976,64.5346587396451,57.5225778355821,52.8132108292206,56.9876371408229,50.6284051466422,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Ethiopia,ETH,0.638399108791824,6.57246009632999,18.781519813706,20.8042566222868,18.7606517265409,12.9549109203459,11.6376522598183,14.3218090567344,10.5463385498477,10.0322159986237,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Fiji,FJI,82.1009730293787,211.801929809757,73.3139231965135,70.9569422170991,74.5449050542956,70.0192956252642,88.0610685653547,76.0574967151853,77.6044809628532,71.2376837990949,74.8280740628871,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Gabon,GAB,6.99763110848612,4.92619624216545,62.1263608416693,53.2125934173923,36.3929425898782,14.7926881151596,14.8485572903215,19.3950526782845,19.0580305063532,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Gambia, The",GMB,15.00558208157,22.3266977345766,36.5787797913202,28.8599079394304,19.1864403002547,15.6128198710307,24.4590860128467,26.5085819451021,32.0546639419241,42.1129575888434,60.7915912943774,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Georgia,GEO,..,6.3525005093035,20.7551792916501,19.0654425368964,16.9464609553109,16.8894877767559,18.5020534130502,18.9855210879953,18.6907754641187,19.4797299907777,19.3664587813301,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Ghana,GHA,7.9700862462634,4.5808282275235,34.6736823651047,31.1886628283498,28.5991992708369,27.5134094306041,31.1516188701546,26.7011796806655,27.9275207656728,24.7374368922793,27.4087628996119,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Grenada,GRD,15.5726190158718,28.9137228070699,25.658326726813,26.6515359300558,32.9318553075523,33.3838088803183,35.4637025665108,42.170639882238,44.9746831318341,44.541104564528,47.9991066038533,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Guatemala,GTM,12.4289762333789,45.7362027446568,41.5762643176388,37.5713800009515,38.0107648670804,43.3161465697598,50.5702040615556,51.8358720368275,59.0543775193575,74.4104949002093,77.6384275471,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Guinea,GIN,..,5.45069330154165,50.7774391788727,53.3527386625947,32.0374824665358,37.8094959197673,40.944485705078,47.8774476335454,45.8894230347987,36.0278764371601,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Guyana,GUY,1.46090495298179,22.1871658405035,34.0405907815511,28.5200573742477,32.4932177881721,35.3425110141642,35.7354902953513,32.2656599444385,37.46890506958,45.174217674469,41.8469798362876,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Haiti,HTI,1.08282127332403,15.1661066565877,155.737604401076,100.460689880632,90.7620999868101,96.0310403871939,106.758283285803,102.443254971762,106.396007842249,111.76013636828,105.004722769302,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Honduras,HND,1.22026515972681,23.4816478036686,43.8047486430563,46.9279285542341,49.2234021300005,50.0840141385366,53.8586616725466,52.0238533027735,58.9469952973606,73.8147708778861,73.1376119296459,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,6.75373608549618,40.5996797790178,69.7708394619796,71.0548132506625,73.7886763078258,79.4056338085916,80.6717304828363,76.6111171712869,82.6340168100254,104.455278830292,104.180185001174,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Indonesia,IDN,12.3936693420162,20.3770454946064,37.6974138344901,38.2350997027004,34.4204928805027,36.486125258045,36.8293681660259,31.7872725617973,32.1274292270001,32.5901345749363,34.7942349827747,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Iraq,IRQ,..,..,..,..,282.285630430388,193.920865216419,175.484039373305,232.891260047768,247.626964069586,206.946838218184,254.252707996497,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Jamaica,JAM,3.50994773153135,21.824630514492,14.0999414230796,17.5585572192435,20.7016994259076,23.4670008583734,25.889809471996,20.6715714268951,20.8327997021589,23.3405562673071,27.3288632912831,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Jordan,JOR,13.6656290010939,31.10743073136,60.1049159311644,66.5162713757684,64.7378053598567,57.333778713001,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kazakhstan,KAZ,..,16.2835142380541,16.4613105358718,18.5142856242327,18.1500143629934,18.075036461263,19.3085447971651,19.6965534447115,18.1838828207345,22.0685100318409,21.5192343877809,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kenya,KEN,3.34670214835119,14.6062137376271,47.9030272226377,46.5618159410498,37.9850175926342,35.8723664031552,27.1801605463288,25.973252621977,26.0683823550127,21.8144573232424,23.0353295526547,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kosovo,XKX,..,79.58000006626,43.0810898041372,34.9270304406109,35.6989166746585,30.0171656009588,32.7278128107239,37.8876300870141,39.7759282480563,35.4687938239629,37.1237243542559,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Kyrgyz Republic,KGZ,..,13.5126062777646,32.844104963245,26.8618211589674,23.0239912210929,24.6732748036153,26.7735661817675,26.4154495910241,28.7199209281743,32.4005974575656,32.9042959167408,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Lao PDR,LAO,0.4735867443459,5.70068870120329,13.2334292388037,12.7946292134346,9.18172798187936,6.76779528390273,7.65821867211474,6.31186020883066,6.70371761415024,7.98912002399259,8.58626178144151,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Lebanon,LBN,235.605958416805,84.1151323612424,77.0587031916787,78.6118203224381,71.1405226984595,77.5516680222445,74.713415208212,65.7633672018829,70.6608141345909,61.6265857043399,52.6797328609568,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Lesotho,LSO,18.2953528050702,54.2934569159941,114.611240913035,118.549182314897,104.707485463183,68.1261134806299,43.7229136234102,49.7829198251556,48.8856740378065,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Liberia,LBR,..,0.00943869798626344,111.10539876757,73.2219875685348,66.9594991050916,61.6652058309557,52.4092780155901,28.6937391763418,23.4513562377521,23.3950678701555,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Madagascar,MDG,2.48804131987872,6.03430387740779,26.3943251001083,26.1113526175109,27.6611796721879,39.7637876951397,47.3017813033825,46.7616236484279,41.8599371205684,40.9127962327259,43.6602642462934,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Malawi,MWI,9.11945708517817,9.07548602464112,27.3612792221469,36.0398830763457,39.5990841563064,33.0683562162264,35.5346706983706,33.8151640446414,34.8683185715362,20.1984893187165,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Maldives,MDV,31.268516822641,60.4862668894187,35.7536270786166,55.650001584031,56.0374307390905,38.2425205596444,38.7502743084779,30.4379576117177,28.1242210175432,28.5155847511526,20.9472750314456,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mauritania,MRT,2.77508610528801,2.10703147826591,22.0654365717909,14.0213256637451,16.466813550226,16.7013559813337,16.6726937282476,17.8794538980258,19.1573613222123,26.1309758601872,42.3041299316084,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mauritius,MUS,81.6479221897691,94.580229310478,28.1702464906786,30.7301788329138,41.3470989977923,47.5093918036789,56.2989175390223,56.5518328954857,59.561641295323,57.7342860793472,61.5297151784819,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mexico,MEX,9.76712258128555,19.9744859318086,35.9344045909312,36.4952007544418,33.4762555022334,32.7050844751916,30.3525681605526,29.0855368436723,29.9998870622954,32.9011893102161,34.3073526817125,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Moldova,MDA,..,12.0802796104173,45.4642129520283,36.8591289307132,28.8248424830368,35.4522924943099,40.2269498590377,40.2563246855472,40.666906364269,45.9829414690875,42.0105745363715,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mongolia,MNG,..,21.0502604569727,11.7157947938061,7.79129359151684,6.02420487934406,5.29842615789433,10.7881093307732,11.9162032492806,13.7901511582536,14.0461430851961,12.9053840845925,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Montenegro,MNE,..,..,8.11785333526446,10.0079901695277,10.8701274559308,12.7592517395515,14.0738660112925,14.9804999032771,17.813213800219,20.2895547035261,18.7795436317405,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Morocco,MAR,9.34022569338606,24.1318657015425,47.8510376129824,47.012581288029,51.2657685863518,52.7389299695654,51.3705362364236,48.5622120222706,48.0295316077848,54.7694661223014,54.4965108106265,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Mozambique,MOZ,5.00229955253535,11.1114727744495,11.3809430848027,9.20958419321229,6.70803265892489,4.73555583635583,7.25414728737405,6.1843930328067,7.11666740577453,6.90110575630389,6.01859805978899,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Myanmar,MMR,7.68573896376586,4.41971596348517,89.0987580630489,44.8737590215783,44.9968316203117,48.3244684332013,48.3551443825755,52.6266877526906,52.1050508893358,57.2049468870131,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Nepal,NPL,21.768584925438,34.3483674376803,135.417164189566,156.149152937093,196.611833763337,203.251599899123,190.09651408018,151.253248276102,133.77126205804,145.048591551024,109.089986011051,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
